rxns,eccodes,genes
R02229,ec-code/1.1.1.163;ec-code/1.1.1.245,IB49_00335
R02236,ec-code/1.5.1.3,IB49_00910
R02255,ec-code/6.2.1.12,IB49_05325
R02257,ec-code/1.1.1.77,IB49_13915
R02260,ec-code/1.1.1.283;ec-code/1.2.1.49,IB49_13225
R02272,ec-code/5.4.3.8,IB49_05090
R02273,ec-code/3.5.1.30,IB49_15035
R02274,ec-code/2.6.1.48,IB49_11235
R02280,ec-code/3.5.4.22,IB49_16620
R02282,ec-code/2.3.1.35,IB49_14285
R02283,ec-code/2.6.1.11,IB49_11235
R02291,ec-code/1.2.1.11,IB49_16610
R02294,ec-code/2.4.2.1,IB49_03365 or IB49_18245
R02295,ec-code/2.4.2.1,IB49_03365 or IB49_18245
R02296,ec-code/2.4.2.2,IB49_03360
R02297,ec-code/2.4.2.1;ec-code/2.4.2.-,IB49_03365 or IB49_18245
R02300,ec-code/2.1.2.10,IB49_03930
R02301,ec-code/6.3.3.2,IB49_04055
R02322,ec-code/3.5.1.42,IB49_16705
R02323,ec-code/3.1.3.5;ec-code/3.1.3.-,IB49_08200
R02326,ec-code/2.7.4.6,IB49_02820
R02327,ec-code/2.7.1.48,IB49_04610
R02331,ec-code/2.7.4.6,IB49_02820
R02332,ec-code/2.7.1.48,IB49_04610
R02340,ec-code/4.1.2.8;ec-code/4.2.1.20,IB49_02770 or IB49_02775
R02352,ec-code/1.1.1.51;ec-code/1.1.1.62,IB49_00335
R02370,ec-code/3.1.3.6,IB49_00850 or IB49_08200
R02371,ec-code/2.7.1.48,IB49_04610
R02372,ec-code/2.7.1.48,IB49_04610
R02377,ec-code/1.1.1.202,IB49_13915 or IB49_02205
R02394,ec-code/1.3.3.5,IB49_14805
R02401,ec-code/1.2.1.20,IB49_05715
R02404,ec-code/6.2.1.5,IB49_16275 or IB49_16270
R02408,ec-code/4.4.1.1;ec-code/4.4.1.13;ec-code/4.4.1.35,IB49_06650 or IB49_04570 or IB49_14660
R02410,ec-code/3.2.1.26,IB49_09760
R02412,ec-code/2.7.1.71,IB49_02805 or IB49_02075
R02423,ec-code/3.5.3.9,IB49_08770
R02425,ec-code/3.5.2.5,IB49_15995
R02429,ec-code/4.2.1.82,IB49_02040
R02433,ec-code/2.6.1.1,IB49_02630 or IB49_06635
R02473,ec-code/6.3.2.1,IB49_02655
R02484,ec-code/2.4.2.1;ec-code/2.4.2.2;ec-code/2.4.2.3;ec-code/2.4.2.4,IB49_03360 or IB49_03365 or IB49_18245
R02485,ec-code/3.5.4.5,IB49_04245
R02487,ec-code/1.3.8.6,IB49_12835
R02488,ec-code/1.3.8.6,IB49_12835
R02508,ec-code/2.5.1.48,IB49_04570 or IB49_14655
R02527,ec-code/1.1.1.78;ec-code/1.1.1.79,IB49_06925 or IB49_12460
R02528,ec-code/1.1.1.-,IB49_06615
R02536,ec-code/1.2.1.5;ec-code/1.2.1.39,IB49_05715
R02537,ec-code/1.2.1.5,IB49_05715
R02540,ec-code/3.5.1.4,IB49_11830 or IB49_03125
R02545,ec-code/1.1.1.93,IB49_09780
R02549,ec-code/1.2.1.3;ec-code/1.2.1.19;ec-code/1.2.1.-,IB49_05715
R02557,ec-code/2.4.2.1,IB49_03365 or IB49_18245
R02558,ec-code/3.2.1.21;ec-code/3.2.1.118,IB49_08540
R02566,ec-code/1.2.1.8,IB49_05715
R02568,ec-code/4.1.2.13,IB49_09485
R02619,ec-code/2.6.1.1,IB49_02630 or IB49_06635
R02658,ec-code/2.7.1.13,IB49_01640
R02672,ec-code/4.1.1.7,IB49_12360
R02678,ec-code/1.2.1.3,IB49_05715
R02695,ec-code/1.2.1.5;ec-code/1.2.1.29;ec-code/1.2.1.53,IB49_05715
R02697,ec-code/1.2.1.5,IB49_05715
R02698,ec-code/1.14.14.9,IB49_07205
R02705,ec-code/2.7.1.60,IB49_04020
R02719,ec-code/3.1.3.5,IB49_08200
R02720,ec-code/3.6.1.66;ec-code/3.6.1.-,IB49_05200
R02722,ec-code/4.2.1.20,IB49_02770 or IB49_02775
R02733,ec-code/3.5.1.47,IB49_15525
R02734,ec-code/3.5.1.18,IB49_06015
R02735,ec-code/5.1.1.7,IB49_06885
R02748,ec-code/2.4.2.1;ec-code/2.4.2.4,IB49_03365 or IB49_18245
R02749,ec-code/5.4.2.7,IB49_03370
R02750,ec-code/2.7.1.15,IB49_08685
R02762,ec-code/1.2.1.85,IB49_05715
R02765,ec-code/5.1.99.1,IB49_03535
R02776,ec-code/1.1.1.134;ec-code/1.1.1.344,IB49_17995
R02783,ec-code/6.3.2.9,IB49_15860
R02786,ec-code/6.3.2.7,IB49_15845
R02788,ec-code/6.3.2.13,IB49_15845
R02832,ec-code/1.1.1.206,IB49_18420
R02855,ec-code/1.1.1.303,IB49_16180
R02864,ec-code/4.99.1.4,IB49_12590 or IB49_01030 or IB49_12585
R02869,ec-code/2.5.1.16;ec-code/2.5.1.22,IB49_09580 or IB49_00660
R02914,ec-code/4.2.1.49,IB49_17085
R02921,ec-code/2.7.7.40,IB49_10690
R02928,ec-code/1.1.1.16,IB49_16180
R02935,ec-code/1.1.1.154;ec-code/1.1.1.350,IB49_01645
R02936,ec-code/1.1.1.154,IB49_01645
R02940,ec-code/1.2.1.3,IB49_05715
R02946,ec-code/1.1.1.4,IB49_16180
R02957,ec-code/1.2.1.3,IB49_05715
R02971,ec-code/2.7.1.33;ec-code/2.7.1.34,IB49_10535
R02984,ec-code/5.1.3.2,IB49_09080
R02985,ec-code/3.2.1.21;ec-code/3.2.1.117,IB49_08540
R02986,ec-code/6.2.1.31,IB49_16820
R02990,ec-code/2.8.3.6,IB49_01875
R02991,ec-code/3.1.1.24,IB49_06255
R03004,ec-code/3.6.1.9;ec-code/3.6.1.22,IB49_10460
R03005,ec-code/2.7.7.1;ec-code/2.7.7.18,IB49_04475
R03012,ec-code/1.1.1.23,IB49_07525
R03013,ec-code/3.1.3.15,IB49_07520 or IB49_05850 or IB49_03025
R03018,ec-code/2.7.1.33,IB49_10535
R03024,ec-code/3.1.3.1;ec-code/3.1.3.2;ec-code/3.1.3.41,IB49_06945
R03026,ec-code/4.2.1.17,IB49_09530 or IB49_18375 or IB49_05315
R03035,ec-code/2.7.7.3,IB49_15775
R03036,ec-code/3.6.1.9,IB49_10460
R03045,ec-code/4.2.1.17;ec-code/4.2.1.116;ec-code/4.2.1.-,IB49_09530 or IB49_18375 or IB49_05315
R03051,ec-code/1.1.1.86,IB49_05175
R03066,ec-code/2.5.1.15,IB49_10565
R03067,ec-code/2.5.1.15,IB49_10565
R03083,ec-code/4.2.3.4,IB49_02805
R03084,ec-code/4.2.1.10,IB49_02095
R03096,ec-code/3.5.1.4;ec-code/3.5.1.-,IB49_11830 or IB49_03125
R03104,ec-code/1.1.1.27,IB49_12995
R03119,ec-code/1.1.1.202,IB49_13915
R03122,ec-code/3.2.1.54,IB49_13785
R03132,ec-code/2.5.1.144,IB49_10545
R03145,ec-code/1.2.5.1,IB49_05185
R03165,ec-code/4.2.1.75,IB49_05100 or IB49_12590 or IB49_01175
R03177,ec-code/1.2.1.54,IB49_05715
R03180,ec-code/3.5.1.4,IB49_11830 or IB49_03125
R03182,ec-code/6.3.3.3,IB49_07185
R03192,ec-code/1.3.1.98,IB49_14865
R03193,ec-code/6.3.2.8,IB49_05935
R03194,ec-code/2.1.1.107,IB49_12590 or IB49_00975
R03197,ec-code/4.1.1.37,IB49_13580
R03209,ec-code/6.2.1.14,IB49_02360
R03210,ec-code/2.3.1.47,IB49_02360
R03217,ec-code/2.5.1.48,IB49_04570 or IB49_14655
R03222,ec-code/1.3.3.4,IB49_13590
R03223,ec-code/2.5.1.3,IB49_09805
R03231,ec-code/2.6.1.62,IB49_07180
R03236,ec-code/2.7.1.11;ec-code/2.7.1.56;ec-code/2.7.1.144,IB49_05585 or IB49_01215
R03237,ec-code/2.7.1.11,IB49_05585 or IB49_01215
R03238,ec-code/2.7.1.11,IB49_05585 or IB49_01215
R03239,ec-code/2.7.1.11,IB49_05585 or IB49_01215
R03243,ec-code/2.6.1.9,IB49_03080
R03256,ec-code/3.2.1.85,IB49_08540
R03260,ec-code/2.5.1.48,IB49_04570 or IB49_14655
R03276,ec-code/5.1.2.3,IB49_09530
R03283,ec-code/1.2.1.3;ec-code/1.2.1.47,IB49_05715
R03293,ec-code/1.5.1.2,IB49_03455
R03300,ec-code/1.2.1.5;ec-code/1.2.1.29,IB49_05715
R03302,ec-code/1.2.1.5,IB49_05715
R03307,ec-code/5.5.1.2,IB49_11710
R03313,ec-code/1.2.1.41,IB49_02050
R03315,ec-code/2.7.1.83,IB49_17110
R03317,ec-code/1.1.1.336,IB49_07990
R03346,ec-code/3.1.3.5;ec-code/3.1.3.-,IB49_08200
R03348,ec-code/2.4.2.19,IB49_04860
R03383,ec-code/6.2.1.-,IB49_13605
R03387,ec-code/2.7.1.58;ec-code/2.7.1.178,IB49_01640
R03407,ec-code/1.1.1.51,IB49_00335
R03457,ec-code/4.2.1.19,IB49_07520
R03458,ec-code/1.1.1.193,IB49_03275
R03459,ec-code/3.5.4.26,IB49_03275
R03460,ec-code/2.5.1.19,IB49_02755
R03471,ec-code/2.7.1.49,IB49_09805
R03472,ec-code/4.1.99.17,IB49_10530
R03494,ec-code/6.4.1.5,IB49_18380 or IB49_18360
R03503,ec-code/2.7.6.3,IB49_10565 or IB49_10575
R03504,ec-code/4.1.2.25,IB49_10575 or IB49_10570
R03508,ec-code/4.1.1.48,IB49_02785 or IB49_10555
R03509,ec-code/5.3.1.24,IB49_02785 or IB49_10555
R03530,ec-code/2.7.4.6,IB49_02820
R03531,ec-code/3.6.1.66;ec-code/3.6.1.-,IB49_05200
R03537,ec-code/3.1.4.16,IB49_00850 or IB49_08200
R03538,ec-code/3.1.4.16,IB49_00850 or IB49_08200
R03545,ec-code/1.1.1.-,IB49_06615
R03596,ec-code/1.8.1.9,IB49_07485
R03601,ec-code/2.5.1.47,IB49_10545
R03635,ec-code/3.2.1.26,IB49_09760
R03707,ec-code/1.1.1.76,IB49_00335 or IB49_16180
R03777,ec-code/1.3.3.6;ec-code/1.3.8.7;ec-code/1.3.8.8;ec-code/1.3.99.-,IB49_16825 or IB49_15415 or IB49_05755
R03778,ec-code/2.3.1.16,IB49_01860 or IB49_07135 or IB49_05740
R03857,ec-code/1.3.3.6;ec-code/1.3.8.7;ec-code/1.3.8.8;ec-code/1.3.99.-,IB49_16825 or IB49_15415 or IB49_05755
R03858,ec-code/2.3.1.16,IB49_01860 or IB49_07135 or IB49_05740
R03869,ec-code/1.2.1.3,IB49_05715
R03889,ec-code/1.2.1.32,IB49_05715
R03896,ec-code/4.2.1.35,IB49_05160 or IB49_05155
R03898,ec-code/4.2.1.35,IB49_05160 or IB49_05155
R03921,ec-code/3.2.1.26,IB49_09760
R03929,ec-code/3.1.4.16,IB49_00850 or IB49_08200
R03942,ec-code/1.1.1.173,IB49_16180
R03947,ec-code/1.3.1.76,IB49_12590
R03948,ec-code/2.1.1.130,IB49_01005
R03968,ec-code/4.2.1.33,IB49_05160 or IB49_05155
R03990,ec-code/1.3.3.6;ec-code/1.3.8.7;ec-code/1.3.8.8;ec-code/1.3.8.9,IB49_16825 or IB49_15415 or IB49_05755
R03991,ec-code/2.3.1.16;ec-code/2.3.1.155,IB49_01860 or IB49_07135 or IB49_05740
R03999,ec-code/1.14.13.40,IB49_03465
R04001,ec-code/4.2.1.33,IB49_05160 or IB49_05155
R04030,ec-code/6.2.1.26,IB49_06240
R04031,ec-code/4.2.1.113,IB49_14910
R04035,ec-code/3.6.1.31,IB49_07495
R04037,ec-code/3.5.4.19,IB49_07495
R04065,ec-code/1.2.1.3,IB49_05715
R04095,ec-code/1.3.8.4;ec-code/1.3.8.7,IB49_09520 or IB49_15415 or IB49_05755
R04112,ec-code/3.5.1.28,IB49_07930 or IB49_15195 or IB49_11010 or IB49_12310 or IB49_09665
R04134,ec-code/5.3.3.-,IB49_13750
R04137,ec-code/4.2.1.17,IB49_09530 or IB49_05315
R04138,ec-code/6.4.1.4,IB49_18380 or IB49_18360
R04143,ec-code/2.7.1.100,IB49_15030
R04144,ec-code/6.3.4.13,IB49_11755
R04148,ec-code/2.4.2.21,IB49_00980
R04158,ec-code/2.5.1.41,IB49_11780
R04170,ec-code/4.2.1.17;ec-code/4.2.1.74,IB49_09530 or IB49_05315
R04173,ec-code/2.6.1.52,IB49_13520
R04178,ec-code/1.3.3.15,IB49_13590
R04187,ec-code/2.6.1.18,IB49_17520
R04188,ec-code/2.6.1.22,IB49_11235
R04199,ec-code/1.17.1.8,IB49_02690
R04203,ec-code/1.1.1.35;ec-code/1.1.1.178,IB49_09530
R04204,ec-code/4.2.1.17,IB49_09530 or IB49_05315
R04208,ec-code/6.3.3.1,IB49_11740
R04224,ec-code/4.2.1.17,IB49_09530 or IB49_05315
R04251,ec-code/1.2.1.-,IB49_01455
R04292,ec-code/2.5.1.72,IB49_04855
R04325,ec-code/2.1.2.2,IB49_11745
R04326,ec-code/2.1.2.2,IB49_11745
R04355,ec-code/2.3.1.41;ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.179,IB49_14345
R04364,ec-code/2.3.1.89;ec-code/2.3.1.-,IB49_15520
R04378,ec-code/2.4.2.7,IB49_04760
R04380,ec-code/4.1.1.68,IB49_13750
R04391,ec-code/2.7.1.33,IB49_10535
R04418,ec-code/1.1.1.312;ec-code/1.2.1.60,IB49_05715 or IB49_07235
R04420,ec-code/5.3.1.23,IB49_15025
R04426,ec-code/1.1.1.85,IB49_05165
R04428,ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.-;ec-code/4.2.1.59,IB49_09195
R04430,ec-code/1.3.1.10;ec-code/1.3.1.39;ec-code/1.3.1.104;ec-code/1.3.1.-,IB49_12935 or IB49_14495
R04432,ec-code/1.3.8.1,IB49_09520
R04439,ec-code/1.1.1.86;ec-code/1.1.1.383,IB49_05175
R04440,ec-code/1.1.1.86,IB49_05175
R04441,ec-code/4.2.1.9,IB49_02040
R04445,ec-code/1.2.1.88,IB49_11230
R04448,ec-code/2.7.1.50,IB49_17895
R04457,ec-code/2.5.1.78,IB49_03260
R04463,ec-code/6.3.5.3,IB49_11730 or IB49_11725 or IB49_11720
R04467,ec-code/2.6.1.-,IB49_06635
R04475,ec-code/2.6.1.17,IB49_06635 or IB49_11235
R04506,ec-code/1.2.1.3,IB49_05715
R04509,ec-code/2.7.4.7,IB49_09805
R04533,ec-code/1.1.1.100;ec-code/1.1.1.-;ec-code/2.3.1.85;ec-code/2.3.1.86,IB49_16180 or IB49_05650 or IB49_05745
R04534,ec-code/1.1.1.100;ec-code/1.1.1.-;ec-code/2.3.1.85;ec-code/2.3.1.86,IB49_16180 or IB49_05650 or IB49_05745
R04535,ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.-;ec-code/4.2.1.59,IB49_09195
R04536,ec-code/1.1.1.100;ec-code/1.1.1.-;ec-code/2.3.1.85;ec-code/2.3.1.86,IB49_16180 or IB49_05650 or IB49_05745
R04537,ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.-;ec-code/4.2.1.59,IB49_09195
R04540,ec-code/1.8.98.1,IB49_09540
R04543,ec-code/1.1.1.100;ec-code/1.1.1.-;ec-code/2.3.1.85;ec-code/2.3.1.86,IB49_16180 or IB49_05650 or IB49_05745
R04544,ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.-;ec-code/4.2.1.59,IB49_09195
R04547,ec-code/1.3.99.-,IB49_09520
R04558,ec-code/4.3.2.10,IB49_07500 or IB49_07510
R04559,ec-code/4.3.2.2,IB49_11710
R04560,ec-code/2.1.2.3,IB49_11750
R04566,ec-code/1.1.1.100;ec-code/1.1.1.-;ec-code/2.3.1.85;ec-code/2.3.1.86,IB49_16180 or IB49_05650 or IB49_05745
R04568,ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.-;ec-code/4.2.1.59,IB49_09195
R04587,ec-code/3.5.1.108,IB49_09195
R04591,ec-code/6.3.2.6,IB49_11715
R04592,ec-code/1.3.99.-,IB49_09520
R04617,ec-code/6.3.2.10,IB49_15845
R04640,ec-code/5.3.1.16,IB49_07505
R04666,ec-code/3.5.1.6,IB49_08770
R04673,ec-code/2.2.1.6,IB49_05185 or IB49_05180
R04725,ec-code/1.3.1.10;ec-code/1.3.1.39;ec-code/1.3.1.104;ec-code/1.3.1.-,IB49_12935 or IB49_14495
R04726,ec-code/2.3.1.41;ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.179,IB49_14345
R04737,ec-code/1.1.1.35;ec-code/1.1.1.211,IB49_09530
R04738,ec-code/4.2.1.17;ec-code/4.2.1.74,IB49_09530 or IB49_05315
R04739,ec-code/1.1.1.35;ec-code/1.1.1.211,IB49_09530
R04740,ec-code/4.2.1.17;ec-code/4.2.1.74,IB49_09530 or IB49_05315
R04741,ec-code/1.1.1.35;ec-code/1.1.1.211,IB49_09530
R04742,ec-code/2.3.1.16,IB49_01860 or IB49_07135 or IB49_05740
R04743,ec-code/1.1.1.35;ec-code/1.1.1.211,IB49_09530
R04744,ec-code/4.2.1.17;ec-code/4.2.1.74,IB49_09530 or IB49_05315
R04745,ec-code/1.1.1.35;ec-code/1.1.1.211,IB49_09530
R04746,ec-code/4.2.1.17;ec-code/4.2.1.74,IB49_09530 or IB49_05315
R04747,ec-code/2.3.1.16,IB49_01860 or IB49_07135 or IB49_05740
R04748,ec-code/1.1.1.35;ec-code/1.1.1.211,IB49_09530
R04749,ec-code/4.2.1.17;ec-code/4.2.1.74,IB49_09530 or IB49_05315
R04751,ec-code/1.3.3.6;ec-code/1.3.8.1;ec-code/1.3.8.7;ec-code/1.3.8.8,IB49_09520 or IB49_16825 or IB49_15415 or IB49_05755
R04754,ec-code/1.3.3.6;ec-code/1.3.8.7;ec-code/1.3.8.8;ec-code/1.3.99.-,IB49_16825 or IB49_15415 or IB49_05755
R04756,ec-code/5.3.3.8,IB49_09530
R04770,ec-code/4.4.1.1;ec-code/4.4.1.11,IB49_04570
R04771,ec-code/2.5.1.6,IB49_06120
R04805,ec-code/1.1.1.1,IB49_13935
R04831,ec-code/1.1.1.53,IB49_00335
R04834,ec-code/1.1.1.53,IB49_00335
R04844,ec-code/1.1.1.53,IB49_00335
R04847,ec-code/1.1.1.53,IB49_00335
R04859,ec-code/2.5.1.47;ec-code/2.5.1.49,IB49_10545 or IB49_11840
R04880,ec-code/1.1.1.1,IB49_13935 or IB49_13915 or IB49_02205
R04882,ec-code/1.2.1.5,IB49_05715
R04883,ec-code/1.2.1.5,IB49_05715
R04888,ec-code/1.2.1.5,IB49_05715
R04889,ec-code/1.2.1.5,IB49_05715
R04891,ec-code/1.2.1.5,IB49_05715
R04892,ec-code/1.2.1.5,IB49_05715
R04903,ec-code/1.2.1.3,IB49_05715
R04928,ec-code/2.7.1.25,IB49_12595
R04929,ec-code/2.7.7.4,IB49_12595 or IB49_12600
R04930,ec-code/4.4.1.1,IB49_04570
R04941,ec-code/4.4.1.13,IB49_06650 or IB49_14660
R04942,ec-code/4.2.1.22,IB49_17970
R04944,ec-code/2.5.1.48,IB49_04570 or IB49_14655
R04945,ec-code/2.5.1.48,IB49_04570 or IB49_14655
R04946,ec-code/2.5.1.48,IB49_04570 or IB49_14655
R04952,ec-code/2.3.1.41;ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.179,IB49_14345
R04953,ec-code/1.1.1.100;ec-code/1.1.1.-;ec-code/2.3.1.85;ec-code/2.3.1.86,IB49_16180 or IB49_05650 or IB49_05745
R04954,ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.-;ec-code/4.2.1.59,IB49_09195
R04956,ec-code/1.3.1.10;ec-code/1.3.1.39;ec-code/1.3.1.104;ec-code/1.3.1.-,IB49_12935 or IB49_14495
R04957,ec-code/2.3.1.41;ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.179,IB49_14345
R04959,ec-code/1.3.1.10;ec-code/1.3.1.39;ec-code/1.3.1.104;ec-code/1.3.1.-,IB49_12935 or IB49_14495
R04960,ec-code/2.3.1.41;ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.179,IB49_14345
R04962,ec-code/1.3.1.10;ec-code/1.3.1.39;ec-code/1.3.1.104;ec-code/1.3.1.-,IB49_12935 or IB49_14495
R04963,ec-code/2.3.1.41;ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.179,IB49_14345
R04964,ec-code/1.1.1.100;ec-code/1.1.1.-;ec-code/2.3.1.85;ec-code/2.3.1.86,IB49_16180 or IB49_05650 or IB49_05745
R04965,ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.-;ec-code/4.2.1.59,IB49_09195
R04967,ec-code/1.3.1.10;ec-code/1.3.1.39;ec-code/1.3.1.104;ec-code/1.3.1.-,IB49_12935 or IB49_14495
R04968,ec-code/2.3.1.41;ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.179,IB49_14345
R04970,ec-code/1.3.1.10;ec-code/1.3.1.39;ec-code/1.3.1.104;ec-code/1.3.1.-,IB49_12935 or IB49_14495
R04972,ec-code/4.1.1.37,IB49_13580
R04990,ec-code/2.1.1.201,IB49_02830
R04996,ec-code/1.2.1.5,IB49_05715
R04998,ec-code/3.2.1.21,IB49_08540
R05032,ec-code/2.4.1.227,IB49_11355
R05046,ec-code/3.5.4.16,IB49_02845
R05049,ec-code/1.2.1.71,IB49_11230
R05050,ec-code/1.2.1.3,IB49_05715
R05051,ec-code/1.2.1.88,IB49_11230
R05052,ec-code/2.6.1.1;ec-code/2.6.1.23,IB49_02630 or IB49_06635
R05053,ec-code/2.6.1.21,IB49_05190
R05066,ec-code/1.1.1.31;ec-code/1.1.1.35,IB49_15410 or IB49_09530
R05068,ec-code/1.1.1.86,IB49_05175
R05069,ec-code/1.1.1.86;ec-code/5.4.99.3,IB49_05175
R05070,ec-code/4.2.1.9,IB49_02040
R05071,ec-code/1.1.1.86;ec-code/5.4.99.3,IB49_05175
R05085,ec-code/2.6.1.52,IB49_13520
R05086,ec-code/4.2.3.1,IB49_06915 or IB49_00840
R05135,ec-code/3.1.4.16,IB49_00850 or IB49_08200
R05149,ec-code/2.1.1.132,IB49_01010
R05168,ec-code/3.5.1.25,IB49_03170
R05177,ec-code/5.4.99.61,IB49_01020
R05181,ec-code/2.1.1.133,IB49_12590
R05223,ec-code/2.7.8.26,IB49_03070
R05224,ec-code/6.3.5.9,IB49_00990
R05231,ec-code/1.1.1.2,IB49_13225
R05233,ec-code/1.1.1.1,IB49_13935 or IB49_13915 or IB49_02205
R05234,ec-code/1.1.1.1,IB49_13935 or IB49_13915 or IB49_02205
R05235,ec-code/1.2.1.29,IB49_05715
R05237,ec-code/1.2.1.3,IB49_05715
R05238,ec-code/1.2.1.3,IB49_05715
R05240,ec-code/1.3.1.58,IB49_00240
R05243,ec-code/1.3.1.-,IB49_00335
R05286,ec-code/1.2.1.3,IB49_05715
R05289,ec-code/1.2.1.7;ec-code/1.2.1.28,IB49_05715
R05300,ec-code/5.5.1.1,IB49_09890
R05305,ec-code/1.1.1.35;ec-code/1.1.1.259,IB49_09530
R05316,ec-code/1.3.7.9,IB49_12410
R05332,ec-code/2.3.1.157,IB49_10420
R05338,ec-code/4.1.2.43,IB49_02240
R05339,ec-code/5.3.1.27,IB49_02240 or IB49_02235 or IB49_01650
R05353,ec-code/1.2.1.85,IB49_05715
R05378,ec-code/4.1.2.29,IB49_09485
R05390,ec-code/5.5.1.1,IB49_09890
R05506,ec-code/2.3.1.16;ec-code/2.3.1.-,IB49_07135 or IB49_05740
R05526,ec-code/1.1.1.384,IB49_01385
R05551,ec-code/3.5.1.4,IB49_11830 or IB49_03125
R05553,ec-code/4.1.3.38,IB49_10560 or IB49_10550
R05575,ec-code/1.1.1.35,IB49_00240
R05576,ec-code/1.1.1.157,IB49_09530 or IB49_12160
R05582,ec-code/1.1.1.-,IB49_16180
R05584,ec-code/1.3.8.3,IB49_00235
R05586,ec-code/2.3.1.16,IB49_07135 or IB49_05740
R05590,ec-code/3.5.1.4,IB49_11830 or IB49_03125
R05592,ec-code/3.1.2.-,IB49_06250
R05595,ec-code/4.2.1.17,IB49_05315
R05599,ec-code/4.2.1.-,IB49_18375
R05600,ec-code/4.2.1.-,IB49_18375
R05605,ec-code/4.1.2.14;ec-code/4.1.2.55,IB49_01635
R05620,ec-code/6.2.1.-,IB49_18355
R05627,ec-code/3.6.1.27,IB49_11345 or IB49_17550
R05629,ec-code/2.7.8.13,IB49_15855
R05630,ec-code/2.7.8.13,IB49_15855
R05633,ec-code/2.7.7.60,IB49_10690 or IB49_10695
R05634,ec-code/2.7.1.148,IB49_10395
R05636,ec-code/2.2.1.7,IB49_03750
R05637,ec-code/4.6.1.12,IB49_10695
R05643,ec-code/1.2.1.78,IB49_05715
R05651,ec-code/2.3.3.15,IB49_12360
R05661,ec-code/2.7.1.92,IB49_01640
R05662,ec-code/2.4.1.227,IB49_11355
R05663,ec-code/1.2.1.7;ec-code/1.2.1.28,IB49_05715
R05664,ec-code/1.2.1.7;ec-code/1.2.1.28,IB49_05715
R05688,ec-code/1.1.1.267,IB49_16505
R05693,ec-code/1.1.1.310,IB49_03020
R05699,ec-code/1.2.1.67,IB49_05715
R05706,ec-code/1.5.1.38;ec-code/1.5.1.39;ec-code/1.5.1.-,IB49_00225 or IB49_08425
R05772,ec-code/4.2.1.101,IB49_18375
R05773,ec-code/4.1.2.41,IB49_18375
R05789,ec-code/3.1.3.71,IB49_15440
R05808,ec-code/2.1.1.151,IB49_01005
R05814,ec-code/5.4.99.60,IB49_01020
R05884,ec-code/1.17.7.4,IB49_04180
R06180,ec-code/1.1.1.93,IB49_09780
R06268,ec-code/1.21.98.3,IB49_14990
R06269,ec-code/1.21.98.3,IB49_14990
R06270,ec-code/1.21.98.3,IB49_14990
R06366,ec-code/1.2.1.3,IB49_05715
R06423,ec-code/2.6.1.89,IB49_08005
R06426,ec-code/2.6.1.106,IB49_08005
R06447,ec-code/2.5.1.31,IB49_16495
R06513,ec-code/4.2.1.46,IB49_09140
R06530,ec-code/4.1.1.81,IB49_03080
R06583,ec-code/6.2.1.12,IB49_05325
R06590,ec-code/2.2.1.1,IB49_16905
R06625,ec-code/2.3.1.246,IB49_18375
R06631,ec-code/2.6.1.-,IB49_08005
R06635,ec-code/2.3.1.-,IB49_14345
R06637,ec-code/2.3.1.-,IB49_14345
R06641,ec-code/2.3.1.-,IB49_14345
R06643,ec-code/2.3.1.235;ec-code/2.3.1.-,IB49_14345
R06644,ec-code/2.3.1.-,IB49_14345
R06645,ec-code/2.3.1.-,IB49_14345
R06894,ec-code/1.1.1.-,IB49_07990
R06895,ec-code/1.3.98.3,IB49_04340
R06917,ec-code/1.1.1.1,IB49_13935 or IB49_13915 or IB49_02205
R06927,ec-code/1.1.1.1,IB49_13935 or IB49_13915 or IB49_02205
R06941,ec-code/1.1.1.35;ec-code/1.1.1.157,IB49_09530 or IB49_12160
R06942,ec-code/4.2.1.17,IB49_09530 or IB49_05315
R06943,ec-code/1.3.99.-,IB49_11270
R06977,ec-code/2.6.1.76,IB49_17520
R06988,ec-code/5.4.4.3,IB49_16875
R06989,ec-code/5.5.1.1,IB49_09890
R07104,ec-code/1.2.1.5,IB49_05715
R07105,ec-code/1.1.1.1,IB49_13935
R07127,ec-code/2.7.1.53,IB49_01370
R07137,ec-code/1.1.1.338,IB49_01645
R07245,ec-code/2.1.3.9,IB49_14310
R07263,ec-code/4.1.3.36,IB49_06250
R07267,ec-code/2.5.1.84;ec-code/2.5.1.85,IB49_02825
