rxns,eccodes,genes
R00489,ec-code/4.1.1.11;ec-code/4.1.1.15,IB49_02650
R00490,ec-code/4.3.1.1,IB49_11610
R00508,ec-code/3.1.3.7,IB49_05620
R00509,ec-code/2.7.1.25,IB49_12595
R00511,ec-code/3.1.3.5;ec-code/3.1.3.91,IB49_08200
R00512,ec-code/2.7.4.14;ec-code/2.7.4.25,IB49_02910 or IB49_02655
R00513,ec-code/2.7.1.48;ec-code/2.7.1.213,IB49_04610
R00515,ec-code/3.6.1.8;ec-code/3.6.1.9;ec-code/3.6.1.65,IB49_10460
R00516,ec-code/2.7.1.48,IB49_04610
R00517,ec-code/2.7.1.48,IB49_04610
R00519,ec-code/1.17.1.9,IB49_12905
R00529,ec-code/2.7.7.4,IB49_12595 or IB49_12600
R00551,ec-code/3.5.3.1,IB49_11090
R00566,ec-code/4.1.1.19,IB49_15600
R00570,ec-code/2.7.4.6,IB49_02820
R00571,ec-code/6.3.4.2,IB49_09500
R00573,ec-code/6.3.4.2,IB49_09500
R00575,ec-code/6.3.5.5,IB49_16005 or IB49_16000 or IB49_14300
R00578,ec-code/6.3.5.4,IB49_14815
R00582,ec-code/3.1.3.3,IB49_17740
R00586,ec-code/2.3.1.30,IB49_10705 or IB49_09125
R00605,ec-code/1.1.1.244,IB49_13915
R00610,ec-code/1.5.3.1,IB49_17395
R00614,ec-code/1.2.98.1,IB49_13915
R00615,ec-code/3.6.1.15;ec-code/3.6.1.-,IB49_16115
R00650,ec-code/2.1.1.10,IB49_13860
R00654,ec-code/4.4.1.11,IB49_04570
R00658,ec-code/4.2.1.11,IB49_07350
R00660,ec-code/2.5.1.7,IB49_09265 or IB49_09475
R00662,ec-code/3.6.1.8;ec-code/3.6.1.9,IB49_10460
R00667,ec-code/2.6.1.13,IB49_11235
R00671,ec-code/4.3.1.12,IB49_14860
R00674,ec-code/4.2.1.20;ec-code/4.2.1.122,IB49_02770 or IB49_02775
R00688,ec-code/1.4.1.20,IB49_03695
R00691,ec-code/4.2.1.51;ec-code/4.2.1.91,IB49_04880
R00694,ec-code/2.6.1.1;ec-code/2.6.1.5;ec-code/2.6.1.9;ec-code/2.6.1.57,IB49_02630 or IB49_06635 or IB49_03080
R00703,ec-code/1.1.1.27,IB49_12995
R00706,ec-code/1.2.1.18,IB49_01755
R00708,ec-code/1.2.1.88,IB49_11230
R00711,ec-code/1.2.1.4;ec-code/1.2.1.5;ec-code/1.2.1.-,IB49_05715 or IB49_13930
R00714,ec-code/1.2.1.16;ec-code/1.2.1.79,IB49_05715
R00720,ec-code/3.6.1.8;ec-code/3.6.1.66;ec-code/3.6.1.-,IB49_05200 or IB49_10460
R00722,ec-code/2.7.4.6,IB49_02820
R00732,ec-code/1.3.1.43;ec-code/1.3.1.79,IB49_02760
R00733,ec-code/1.3.1.78;ec-code/1.3.1.79,IB49_02760
R00734,ec-code/2.6.1.1;ec-code/2.6.1.5;ec-code/2.6.1.9;ec-code/2.6.1.57,IB49_02630 or IB49_06635 or IB49_03080
