D;q_s;Yx/s (gx gs-1);q_Ac;YAc/s (gAc gs-1);q_Lac;YLac/s (gAc gs-1);q_o2;q_co2;RQ;DoR products;DoR substrates;DoR balance (%);C_Balance
0.0954;3.09595744565541;0.171042746454398;0.0;0.0;0.0;0.0;13.3115127573222;12.2599196243032;0.921001230123856;14.9517371760569;21.056927666441;71.0062617533984;85.564670891664
0.098175;3.45284356150179;0.157824810718903;0.0;0.0;0.011115607092699;0.00160963085855305;15.3243488691435;15.8495861618268;1.03427468906956;15.5200413444351;21.5708499994689;71.9491412940018;94.7190535920959
0.10049;3.31759326243643;0.168132230770487;0.0;0.0;0.0;0.0;12.9688915627276;12.6002373961558;0.971573964915298;15.7494766123895;27.746672047564;56.7616778884017;82.5322240952162
0.171616666666667;4.55659347609756;0.209059760095459;0.0;0.0;0.0;0.0;15.499161145796;15.9318573962126;1.02791739800279;26.8969318137417;47.3615988431573;56.790590838822;82.1877141327664
0.202375;4.88378703145609;0.230012487014536;0.0;0.0;0.0224868376576675;0.0023021926952211;15.7502788630391;15.1894983622717;0.964395519238495;31.9874291693397;54.2097733027896;59.0067569378558;78.3771210021424
0.79425;13.299966344081;0.331480473760993;0.0;0.0;0.0442883206988202;0.00166497867562388;30.2858518363154;31.801536960358;1.05004597962885;125.076187330119;222.078723783493;63.1194512194578;77.9351885006472
0.795;13.6050153931228;0.324354076486702;0.0;0.0;0.0824005380956082;0.00302831476902485;31.0657294691399;31.2952303204893;1.00738758932339;125.710217064765;227.539633003183;62.0924545869538;75.742564102363
1.195025;18.3277781507448;0.361924881536371;0.0;0.0;0.108460542080876;0.00295891136363599;38.2754822971806;38.6057449240864;1.00862856865765;188.735446660032;317.934827562757;65.7660952875689;76.8021431871678
1.2065;18.6633574400117;0.35883006342244;0.0;0.0;0.0733770950662515;0.00196580640171797;40.325435493917;39.6600116273775;0.983498656409057;190.069736774278;318.623421314906;66.2801570797496;76.6590598360236
1.59125;22.5912669482751;0.390975099280974;0.0;0.0;0.126094386889276;0.00279077723214863;44.3436522186152;42.4901445030481;0.958201284223743;250.904660749595;364.815797884143;68.7757115247724;76.348553958246
1.60075;22.7958522702416;0.389779456775509;0.0;0.0;0.0;0.0;47.4511472149433;46.8090091265882;0.986467385383828;250.880432752338;357.295865626026;70.2164387804389;78.8090202248717
1.69466666666667;23.2620918991375;0.404377319755983;0.0;0.0;0.199179069603189;0.00428119428095317;47.4441622271635;47.3599554409169;0.998225139146871;267.793390080678;338.224771190868;72.721840436765;80.6157482329886
1.717;23.5683369534704;0.404382754253259;0.0;0.0;0.0766005162550123;0.00162507257950021;48.9492358615311;48.8448215170554;0.997866885097633;269.9924863453;359.123052323044;73.009094475481;80.959889241672
1.7645;23.2704263906125;0.420889984103933;2.53443140053335;0.0363040389833705;0.299421159697246;0.00643351253370319;51.1861460440325;46.2596917709039;0.903754147286443;297.926649539041;316.897144073719;84.923433782543;85.5500370116478
1.7845;24.7694139215215;0.399900632417851;2.69366535003123;0.0362498867698382;0.318233274245619;0.00642391610988249;51.6098889901369;45.9431942692817;0.890201377454268;302.284696282796;345.773052040982;78.6150433049508;80.9247221760975
1.976;29.1023534713628;0.376886080807437;6.6399840378654;0.0760532310488137;0.467405793674211;0.00803037792345809;47.0402174848527;48.0477175783037;1.02141784514018;368.420908073223;510.295613373296;72.1975455829977;79.0357226046849
1.97775;27.5810800553455;0.398025955606457;6.10906501412987;0.0738315903736805;0.195764618145389;0.00354889325857723;42.697361471949;43.0794937712662;1.00894978720332;361.188133685359;491.156475440495;73.5383023020161;79.2990548005619
