rxns,eccodes
R04355,ec-code/2.3.1.41;ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.179
R04364,ec-code/2.3.1.89;ec-code/2.3.1.-
R04378,ec-code/2.4.2.7
R04380,ec-code/4.1.1.68
R04391,ec-code/2.7.1.33
R04418,ec-code/1.1.1.312;ec-code/1.2.1.60
R04420,ec-code/5.3.1.23
R04426,ec-code/1.1.1.85
R04428,ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.-;ec-code/4.2.1.59
R04430,ec-code/1.3.1.10;ec-code/1.3.1.39;ec-code/1.3.1.104;ec-code/1.3.1.-
R04432,ec-code/1.3.8.1
R04439,ec-code/1.1.1.86;ec-code/1.1.1.383
R04440,ec-code/1.1.1.86
R04441,ec-code/4.2.1.9
R04445,ec-code/1.2.1.88
R04448,ec-code/2.7.1.50
R04457,ec-code/2.5.1.78
R04463,ec-code/6.3.5.3
R04467,ec-code/2.6.1.-
R04475,ec-code/2.6.1.17
R04506,ec-code/1.2.1.3
R04509,ec-code/2.7.4.7
R04533,ec-code/1.1.1.100;ec-code/1.1.1.-;ec-code/2.3.1.85;ec-code/2.3.1.86
R04534,ec-code/1.1.1.100;ec-code/1.1.1.-;ec-code/2.3.1.85;ec-code/2.3.1.86
R04535,ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.-;ec-code/4.2.1.59
R04536,ec-code/1.1.1.100;ec-code/1.1.1.-;ec-code/2.3.1.85;ec-code/2.3.1.86
R04537,ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.-;ec-code/4.2.1.59
R04540,ec-code/1.8.98.1
R04543,ec-code/1.1.1.100;ec-code/1.1.1.-;ec-code/2.3.1.85;ec-code/2.3.1.86
R04544,ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.-;ec-code/4.2.1.59
R04547,ec-code/1.3.99.-
R04558,ec-code/4.3.2.10
R04559,ec-code/4.3.2.2
R04560,ec-code/2.1.2.3
R04566,ec-code/1.1.1.100;ec-code/1.1.1.-;ec-code/2.3.1.85;ec-code/2.3.1.86
R04568,ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.-;ec-code/4.2.1.59
R04587,ec-code/3.5.1.108
R04591,ec-code/6.3.2.6
R04592,ec-code/1.3.99.-
R04617,ec-code/6.3.2.10
R04640,ec-code/5.3.1.16
R04666,ec-code/3.5.1.6
R04673,ec-code/2.2.1.6
R04725,ec-code/1.3.1.10;ec-code/1.3.1.39;ec-code/1.3.1.104;ec-code/1.3.1.-
R04726,ec-code/2.3.1.41;ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.179
R04737,ec-code/1.1.1.35;ec-code/1.1.1.211
R04738,ec-code/4.2.1.17;ec-code/4.2.1.74
R04739,ec-code/1.1.1.35;ec-code/1.1.1.211
R04740,ec-code/4.2.1.17;ec-code/4.2.1.74
R04741,ec-code/1.1.1.35;ec-code/1.1.1.211
R04742,ec-code/2.3.1.16
R04743,ec-code/1.1.1.35;ec-code/1.1.1.211
R04744,ec-code/4.2.1.17;ec-code/4.2.1.74
R04745,ec-code/1.1.1.35;ec-code/1.1.1.211
R04746,ec-code/4.2.1.17;ec-code/4.2.1.74
R04747,ec-code/2.3.1.16
R04748,ec-code/1.1.1.35;ec-code/1.1.1.211
R04749,ec-code/4.2.1.17;ec-code/4.2.1.74
R04751,ec-code/1.3.3.6;ec-code/1.3.8.1;ec-code/1.3.8.7;ec-code/1.3.8.8
R04754,ec-code/1.3.3.6;ec-code/1.3.8.7;ec-code/1.3.8.8;ec-code/1.3.99.-
R04756,ec-code/5.3.3.8
R04770,ec-code/4.4.1.1;ec-code/4.4.1.11
R04771,ec-code/2.5.1.6
R04805,ec-code/1.1.1.1
R04831,ec-code/1.1.1.53
R04834,ec-code/1.1.1.53
R04844,ec-code/1.1.1.53
R04847,ec-code/1.1.1.53
R04859,ec-code/2.5.1.47;ec-code/2.5.1.49
R04880,ec-code/1.1.1.1
R04882,ec-code/1.2.1.5
R04883,ec-code/1.2.1.5
R04888,ec-code/1.2.1.5
R04889,ec-code/1.2.1.5
R04891,ec-code/1.2.1.5
R04892,ec-code/1.2.1.5
R04903,ec-code/1.2.1.3
R04928,ec-code/2.7.1.25
R04929,ec-code/2.7.7.4
R04930,ec-code/4.4.1.1
R04941,ec-code/4.4.1.13
R04942,ec-code/4.2.1.22
R04944,ec-code/2.5.1.48
R04945,ec-code/2.5.1.48
R04946,ec-code/2.5.1.48
R04952,ec-code/2.3.1.41;ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.179
R04953,ec-code/1.1.1.100;ec-code/1.1.1.-;ec-code/2.3.1.85;ec-code/2.3.1.86
R04954,ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.-;ec-code/4.2.1.59
R04956,ec-code/1.3.1.10;ec-code/1.3.1.39;ec-code/1.3.1.104;ec-code/1.3.1.-
R04957,ec-code/2.3.1.41;ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.179
R04959,ec-code/1.3.1.10;ec-code/1.3.1.39;ec-code/1.3.1.104;ec-code/1.3.1.-
R04960,ec-code/2.3.1.41;ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.179
R04962,ec-code/1.3.1.10;ec-code/1.3.1.39;ec-code/1.3.1.104;ec-code/1.3.1.-
R04963,ec-code/2.3.1.41;ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.179
R04964,ec-code/1.1.1.100;ec-code/1.1.1.-;ec-code/2.3.1.85;ec-code/2.3.1.86
R04965,ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.-;ec-code/4.2.1.59
R04967,ec-code/1.3.1.10;ec-code/1.3.1.39;ec-code/1.3.1.104;ec-code/1.3.1.-
R04968,ec-code/2.3.1.41;ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.179
R04970,ec-code/1.3.1.10;ec-code/1.3.1.39;ec-code/1.3.1.104;ec-code/1.3.1.-
R04972,ec-code/4.1.1.37
R04990,ec-code/2.1.1.201
R04996,ec-code/1.2.1.5
R04998,ec-code/3.2.1.21
R05032,ec-code/2.4.1.227
R05046,ec-code/3.5.4.16
R05049,ec-code/1.2.1.71
R05050,ec-code/1.2.1.3
R05051,ec-code/1.2.1.88
R05052,ec-code/2.6.1.1;ec-code/2.6.1.23
R05053,ec-code/2.6.1.21
R05066,ec-code/1.1.1.31;ec-code/1.1.1.35
R05068,ec-code/1.1.1.86
R05069,ec-code/1.1.1.86;ec-code/5.4.99.3
R05070,ec-code/4.2.1.9
R05071,ec-code/1.1.1.86;ec-code/5.4.99.3
R05085,ec-code/2.6.1.52
R05086,ec-code/4.2.3.1
R05135,ec-code/3.1.4.16
R05149,ec-code/2.1.1.132
R05168,ec-code/3.5.1.25
R05177,ec-code/5.4.99.61
R05181,ec-code/2.1.1.133
R05223,ec-code/2.7.8.26
R05224,ec-code/6.3.5.9
R05231,ec-code/1.1.1.2
R05233,ec-code/1.1.1.1
R05234,ec-code/1.1.1.1
R05235,ec-code/1.2.1.29
R05237,ec-code/1.2.1.3
R05238,ec-code/1.2.1.3
R05240,ec-code/1.3.1.58
R05243,ec-code/1.3.1.-
R05286,ec-code/1.2.1.3
R05289,ec-code/1.2.1.7;ec-code/1.2.1.28
R05300,ec-code/5.5.1.1
R05305,ec-code/1.1.1.35;ec-code/1.1.1.259
R05316,ec-code/1.3.7.9
R05332,ec-code/2.3.1.157
R05338,ec-code/4.1.2.43
R05339,ec-code/5.3.1.27
R05353,ec-code/1.2.1.85
R05378,ec-code/4.1.2.29
R05390,ec-code/5.5.1.1
R05506,ec-code/2.3.1.16;ec-code/2.3.1.-
R05526,ec-code/1.1.1.384
R05551,ec-code/3.5.1.4
R05553,ec-code/4.1.3.38
R05575,ec-code/1.1.1.35
R05576,ec-code/1.1.1.157
R05582,ec-code/1.1.1.-
R05584,ec-code/1.3.8.3
R05586,ec-code/2.3.1.16
R05590,ec-code/3.5.1.4
R05592,ec-code/3.1.2.-
R05595,ec-code/4.2.1.17
R05599,ec-code/4.2.1.-
R05600,ec-code/4.2.1.-
R05605,ec-code/4.1.2.14;ec-code/4.1.2.55
R05620,ec-code/6.2.1.-
R05627,ec-code/3.6.1.27
R05629,ec-code/2.7.8.13
R05630,ec-code/2.7.8.13
R05633,ec-code/2.7.7.60
R05634,ec-code/2.7.1.148
R05636,ec-code/2.2.1.7
R05637,ec-code/4.6.1.12
R05643,ec-code/1.2.1.78
R05651,ec-code/2.3.3.15
R05661,ec-code/2.7.1.92
R05662,ec-code/2.4.1.227
R05663,ec-code/1.2.1.7;ec-code/1.2.1.28
R05664,ec-code/1.2.1.7;ec-code/1.2.1.28
R05688,ec-code/1.1.1.267
R05693,ec-code/1.1.1.310
R05699,ec-code/1.2.1.67
R05706,ec-code/1.5.1.38;ec-code/1.5.1.39;ec-code/1.5.1.-
R05772,ec-code/4.2.1.101
R05773,ec-code/4.1.2.41
R05789,ec-code/3.1.3.71
R05808,ec-code/2.1.1.151
R05814,ec-code/5.4.99.60
R05884,ec-code/1.17.7.4
R06180,ec-code/1.1.1.93
R06268,ec-code/1.21.98.3
R06269,ec-code/1.21.98.3
R06270,ec-code/1.21.98.3
R06366,ec-code/1.2.1.3
R06423,ec-code/2.6.1.89
R06426,ec-code/2.6.1.106
R06447,ec-code/2.5.1.31
R06513,ec-code/4.2.1.46
R06530,ec-code/4.1.1.81
R06583,ec-code/6.2.1.12
R06590,ec-code/2.2.1.1
R06625,ec-code/2.3.1.246
R06631,ec-code/2.6.1.-
R06635,ec-code/2.3.1.-
R06637,ec-code/2.3.1.-
R06641,ec-code/2.3.1.-
R06643,ec-code/2.3.1.235;ec-code/2.3.1.-
R06644,ec-code/2.3.1.-
R06645,ec-code/2.3.1.-
R06894,ec-code/1.1.1.-
R06895,ec-code/1.3.98.3
R06917,ec-code/1.1.1.1
R06927,ec-code/1.1.1.1
R06941,ec-code/1.1.1.35;ec-code/1.1.1.157
R06942,ec-code/4.2.1.17
R06943,ec-code/1.3.99.-
R06977,ec-code/2.6.1.76
R06988,ec-code/5.4.4.3
R06989,ec-code/5.5.1.1
R07104,ec-code/1.2.1.5
R07105,ec-code/1.1.1.1
R07127,ec-code/2.7.1.53
R07137,ec-code/1.1.1.338
R07245,ec-code/2.1.3.9
R07263,ec-code/4.1.3.36
R07267,ec-code/2.5.1.84;ec-code/2.5.1.85
R07274,ec-code/2.5.1.47;ec-code/2.5.1.65
R07280,ec-code/3.1.3.104
R07281,ec-code/4.1.99.12
R07302,ec-code/6.3.1.10
R07394,ec-code/3.1.3.77;ec-code/3.1.3.87
R07396,ec-code/2.6.1.5;ec-code/2.6.1.57
R07399,ec-code/2.3.1.182
R07404,ec-code/6.3.4.18
R07405,ec-code/5.4.99.18
R07411,ec-code/2.5.1.141
R07414,ec-code/6.3.1.11
R07418,ec-code/1.2.1.99
R07456,ec-code/4.3.3.6
R07463,ec-code/1.4.3.19
R07599,ec-code/1.2.4.4
R07601,ec-code/1.2.4.4
R07603,ec-code/1.2.4.4
R07605,ec-code/1.7.1.13
R07613,ec-code/2.6.1.83
R07639,ec-code/5.3.3.14
R07644,ec-code/6.3.2.14
R07659,ec-code/2.6.1.87
R07667,ec-code/1.2.1.28;ec-code/1.2.1.64
R07762,ec-code/2.3.1.41;ec-code/2.3.1.179;ec-code/2.3.1.199;ec-code/2.3.1.-
R07763,ec-code/1.1.1.100;ec-code/2.3.1.-
R07764,ec-code/2.3.1.-;ec-code/4.2.1.-
R07765,ec-code/1.3.1.9;ec-code/1.3.1.-;ec-code/2.3.1.-
R07772,ec-code/3.7.1.12
R07773,ec-code/2.1.1.195
R07832,ec-code/2.8.3.8
R07891,ec-code/2.3.1.16
R07895,ec-code/2.3.1.16
R07899,ec-code/2.3.1.16
R07985,ec-code/1.1.1.291
R08014,ec-code/1.-.-.-
R08042,ec-code/1.-.-.-
R08057,ec-code/2.7.7.65
R08086,ec-code/1.2.1.86
R08087,ec-code/1.2.1.-
R08091,ec-code/2.3.1.16
R08093,ec-code/4.2.1.17
R08094,ec-code/1.1.1.35
R08095,ec-code/2.3.1.16
R08096,ec-code/1.2.1.-
R08116,ec-code/5.5.1.1
R08146,ec-code/1.2.1.3
R08165,ec-code/2.2.1.9
R08166,ec-code/4.2.99.20
R08197,ec-code/2.6.1.84
R08210,ec-code/1.17.7.4
R08213,
R08214,ec-code/1.1.1.-
R08215,ec-code/1.1.1.-
R08221,ec-code/3.5.4.5
R08222,ec-code/2.4.2.4
R08230,ec-code/2.4.2.4
R08232,ec-code/2.7.1.48
R08233,ec-code/2.7.1.21
R08237,ec-code/2.4.2.8
R08238,ec-code/2.4.2.8
R08240,ec-code/1.1.1.205
R08244,ec-code/6.3.5.2
R08245,ec-code/2.4.2.8
R08247,ec-code/5.4.99.62
R08281,ec-code/1.1.1.1
R08283,ec-code/1.2.1.5
R08306,ec-code/1.1.1.1
R08307,ec-code/1.2.1.5
R08310,ec-code/1.1.1.1
R08331,ec-code/2.3.3.-
R08332,ec-code/2.3.3.-
R08359,ec-code/2.5.1.16
R08365,ec-code/5.3.1.-
R08528,ec-code/2.5.1.68
R08549,ec-code/1.2.4.2;ec-code/1.8.1.4;ec-code/2.3.1.61
R08555,ec-code/4.2.1.126
R08558,ec-code/1.1.1.1
R08572,ec-code/2.7.1.165
R08620,ec-code/4.2.1.170
R08624,ec-code/4.2.1.170
R08628,ec-code/4.2.1.170
R08634,ec-code/4.2.1.170
R08639,ec-code/5.4.2.2;ec-code/5.4.2.5
R08641,ec-code/4.2.1.170
R08645,ec-code/4.2.1.170
R08648,ec-code/2.2.1.6
R08714,ec-code/2.6.1.113
R08734,ec-code/5.1.99.4
R08739,ec-code/5.1.99.4
R08871,ec-code/2.3.1.183
R08878,ec-code/1.1.1.274;ec-code/1.1.1.346
R08938,ec-code/2.3.1.183
R08991,ec-code/3.1.4.52
R09030,ec-code/5.3.1.6
R09078,ec-code/1.1.1.304
R09099,ec-code/2.1.2.1
R09229,ec-code/5.5.1.1
R09244,ec-code/2.5.1.86
R09245,ec-code/2.5.1.83
R09247,ec-code/2.5.1.30
R09248,ec-code/2.5.1.90
R09250,ec-code/2.5.1.84
R09251,ec-code/2.5.1.85
R09252,ec-code/1.3.8.10
R09279,ec-code/6.2.1.40
R09280,ec-code/1.2.1.76
R09281,ec-code/1.1.1.-
R09284,ec-code/5.4.4.3
R09292,ec-code/5.4.99.63
R09293,ec-code/1.3.8.12
R09365,ec-code/2.1.1.13;ec-code/2.1.1.14
R09366,ec-code/4.4.1.1;ec-code/4.4.1.13
R09372,ec-code/1.8.1.9
R09497,ec-code/1.7.5.1
R09501,ec-code/1.8.5.3
R09588,ec-code/6.1.2.1
R09600,ec-code/5.1.3.23
R09726,ec-code/2.7.7.75
R09730,ec-code/2.5.1.89
R09735,ec-code/2.10.1.1
R09748,ec-code/1.5.1.36;ec-code/1.5.1.37;ec-code/1.5.1.45
R09750,ec-code/1.5.1.36;ec-code/1.5.1.41
R09819,ec-code/1.14.14.12
R09830,ec-code/1.4.1.20
R09837,ec-code/5.3.3.18
R09839,ec-code/2.3.1.223
R09951,ec-code/1.1.1.369
R09954,ec-code/1.1.1.371;ec-code/1.1.1.-
R09956,ec-code/1.1.1.51
R09957,ec-code/1.1.1.51
R09977,ec-code/5.3.99.10
R09978,ec-code/6.3.4.20
R09979,ec-code/5.1.99.1
R09993,ec-code/3.5.99.2;ec-code/3.5.99.-
R10002,ec-code/4.3.99.3
R10009,ec-code/4.2.3.130
R10035,ec-code/3.2.1.21
R10039,ec-code/3.2.1.21
R10040,ec-code/3.2.1.21
R10074,ec-code/1.3.8.6
R10115,ec-code/2.3.1.41;ec-code/2.3.1.179
R10116,ec-code/1.1.1.100
R10117,ec-code/4.2.1.59
R10118,ec-code/1.3.1.10
R10119,ec-code/2.3.1.41;ec-code/2.3.1.179
R10120,ec-code/1.1.1.100
R10121,ec-code/4.2.1.59
R10122,ec-code/1.3.1.10
R10124,ec-code/2.3.1.47
R10125,ec-code/1.1.1.-
R10126,ec-code/1.1.1.-
R10127,ec-code/1.-.-.-
R10129,ec-code/1.1.1.331
R10140,ec-code/1.1.1.335
R10141,ec-code/2.6.1.98
R10147,ec-code/4.3.3.7
R10170,ec-code/4.2.1.33
R10178,ec-code/2.6.1.96
R10184,ec-code/2.7.8.36
R10185,ec-code/2.7.8.37
R10203,ec-code/1.14.14.35
R10206,ec-code/1.14.14.5;ec-code/1.14.14.34
R10210,
R10279,ec-code/5.1.3.25
R10305,ec-code/2.5.1.134
R10460,ec-code/2.6.1.102
R10463,ec-code/2.7.7.87
R10502,ec-code/1.1.1.-
R10505,ec-code/1.1.1.-
R10601,ec-code/1.3.8.11
R10615,ec-code/1.2.1.89
R10619,ec-code/5.1.3.3
R10660,ec-code/1.3.4.1
R10668,ec-code/3.2.2.30
R10675,ec-code/4.2.1.149
R10690,ec-code/1.1.1.-
R10691,ec-code/3.7.1.-
R10698,ec-code/2.6.1.104
R10699,ec-code/2.6.1.105
R10703,ec-code/1.1.1.-
R10707,ec-code/2.3.1.180
R10712,ec-code/2.5.1.3
R10719,ec-code/1.1.1.373
R10757,ec-code/2.5.1.74
R10769,ec-code/6.2.1.41
R10788,ec-code/1.1.1.377;ec-code/1.1.1.378
R10797,ec-code/1.17.98.3
R10820,ec-code/6.2.1.44
R10829,ec-code/2.4.1.320
R10843,ec-code/1.13.11.84
R10844,ec-code/1.13.11.84
R10847,ec-code/5.5.1.27
R10859,ec-code/1.17.7.3
R10860,ec-code/1.2.1.90
R10917,ec-code/1.1.1.385
R10919,ec-code/1.1.1.386
R10936,ec-code/4.2.1.155
R10938,ec-code/5.1.1.20
R10948,ec-code/6.3.5.5
R10949,ec-code/6.3.5.5
R10955,ec-code/2.4.1.331
R10956,ec-code/2.1.1.305
R10957,ec-code/2.1.1.306
R10960,ec-code/2.3.1.235
R10970,ec-code/2.7.1.184
R10991,ec-code/2.6.1.42
R10995,ec-code/1.1.1.378
R10996,ec-code/1.2.4.4
R11038,ec-code/2.6.1.108
R11051,ec-code/1.1.1.-
R11067,
R11068,
R11130,ec-code/1.3.8.-
R11153,ec-code/1.14.13.212
R11174,ec-code/2.7.8.26
R11183,ec-code/2.7.1.189
R11195,ec-code/1.2.1.96
R11263,ec-code/4.2.1.117
R11311,ec-code/3.2.1.65
R11319,ec-code/2.7.4.3
R11323,ec-code/3.6.1.9
R11329,ec-code/4.99.1.9
R11332,ec-code/5.3.1.33
R11339,ec-code/1.1.1.401
R11372,ec-code/4.6.1.17
R11395,ec-code/2.6.1.109
R11398,ec-code/2.4.1.339
R11402,ec-code/2.7.7.91
R11435,
R11472,ec-code/1.1.1.-
R11474,ec-code/1.1.1.-
R11516,ec-code/2.3.1.260
R11522,ec-code/1.11.1.-
R11536,ec-code/2.7.1.215
R11581,ec-code/2.7.7.77
R11582,ec-code/2.7.7.76
R11599,ec-code/2.4.1.343
R11607,ec-code/2.6.1.111
R11608,ec-code/6.2.1.50
R11627,ec-code/6.3.5.12
R11632,ec-code/6.2.1.48
R11655,ec-code/1.5.1.51
R11667,
R11700,ec-code/2.1.1.342
R11705,ec-code/2.5.1.140
R11711,ec-code/1.14.14.47
R11712,ec-code/1.14.14.47
R11713,ec-code/1.14.14.47
R11721,ec-code/5.3.1.35
R11722,ec-code/5.3.1.35
R11765,ec-code/1.5.1.3
R11872,ec-code/6.2.1.50
R11873,ec-code/6.2.1.50
R11894,ec-code/2.7.4.6
R11895,ec-code/2.7.4.6
R11944,ec-code/1.8.98.6
R12024,ec-code/3.5.1.128
R12175,ec-code/1.3.1.99
R12214,ec-code/2.6.1.82
R12215,ec-code/1.2.1.19
R12272,ec-code/6.3.2.53
R12352,ec-code/6.3.5.-
R04231,
R03269,
R02472,
R00009,
R00267,
R02413,
R00549,
R00161,
R03314,
R01652,
R02101,
R04365,
R01777,
R00751,
R04014,
R08163,
R08159,
R01706,
R02035,
R08575,
R00104,
R00619,
R00004,
R00138,
CO2_to_H2Carbonate,
H2Carbonate_to_Carbonate,
Glu->PreHeme,
R00955,
EX_Acetate,
EX_Lactate,
EX_Pyruvate,
EX_Citrate,
EX_Succinate,
EX_Alanine,
EX_Asparagine,
EX_Aspartate,
EX_Glutamine,
EX_Glutamate,
EX_Glycine,
EX_Isoleucine,
EX_Leucine,
EX_Lysine,
EX_Methionine,
EX_Phenylalanine,
EX_Proline,
EX_Serine,
EX_Threonine,
EX_Tyrosine,
EX_Valine,
EX_Arginine,
EX_Cysteine,
EX_Histidine,
EX_Tryptophan,
EX_Fumarate,
EX_Ethanol,
3HB thioesterase,
EX_3HB,
EX_Galactose,
EX_Mannose,
EX_Xylose,
EX_Glucose,
EX_Oxygen,
EX_Orthophosphate,
EX_Ammonia,
EX_Sulfate,
EX_H2O,
EX_H,
EX_CO2,
EX_Molybdate,
EX_VitB12,
EX_PyridoxinHydrochloride,
EX_Thiamine,
EX_Nicotinicacid,
EX_p-aminobenzoate,
EX_Biotin,
EX_Folate,
EX_Fe,
PTS,
PTS_Fru,
PTS_Man,
Glycerol3P_import,
Xylose_import,
Molybdate_import,
VitB12_import,
PyrHCl_import,
Thiamine_import,
Nicotinate_import,
Aminobenzoate_import,
Biotin_import,
Folate_import,
Iron_import,
Phosphate_import,
Glucose_import(ABC),
Galactose_import,
Complex_I,
Complex_II,
Complex_III,
ATP_Synthase,
Teichuronic_acid,
Peptidoglycan,
CellWall,
aa_to_prot,
CellMembrane,
RNA,
DNA,
Glycogen,
Cofactor_Pool,
Biomass,
EX_Biomass,
