rxns,eccodes
R00734,ec-code/2.6.1.1;ec-code/2.6.1.5;ec-code/2.6.1.9;ec-code/2.6.1.57
R00742,ec-code/6.4.1.2
R00754,ec-code/1.1.1.1;ec-code/1.1.1.71
R00756,ec-code/2.7.1.11
R00762,ec-code/3.1.3.11
R00765,ec-code/3.5.99.6
R00768,ec-code/2.6.1.16
R00771,ec-code/5.3.1.9
R00774,ec-code/6.3.4.6
R00776,ec-code/4.3.2.3
R00782,ec-code/4.4.1.1;ec-code/4.4.1.13;ec-code/4.4.1.28
R00791,ec-code/1.7.7.2
R00801,ec-code/3.2.1.10;ec-code/3.2.1.20;ec-code/3.2.1.26;ec-code/3.2.1.48
R00829,ec-code/2.3.1.16;ec-code/2.3.1.174
R00830,ec-code/2.3.1.37
R00833,ec-code/5.4.99.2
R00835,ec-code/1.1.1.49;ec-code/1.1.1.363
R00837,ec-code/3.2.1.93;ec-code/3.2.1.122
R00839,ec-code/3.2.1.86
R00841,ec-code/3.1.3.21
R00844,ec-code/1.1.1.94
R00846,ec-code/1.1.3.21
R00858,ec-code/1.8.1.2
R00878,ec-code/5.3.1.5
R00880,ec-code/1.1.1.132
R00885,ec-code/2.7.7.13
R00891,ec-code/4.2.1.22
R00896,ec-code/2.6.1.1
R00897,ec-code/2.5.1.47;ec-code/2.5.1.65
R00899,ec-code/3.4.11.1;ec-code/3.4.11.2;ec-code/3.4.11.23;ec-code/3.4.13.-
R00904,ec-code/1.2.1.3;ec-code/1.2.1.5;ec-code/1.2.1.19
R00905,ec-code/3.5.1.6
R00907,ec-code/2.6.1.18
R00908,ec-code/2.6.1.19;ec-code/2.6.1.55
R00919,ec-code/1.3.1.84;ec-code/1.3.1.-
R00921,ec-code/2.3.1.8;ec-code/2.3.1.222
R00922,ec-code/1.2.1.27
R00927,ec-code/2.3.1.9;ec-code/2.3.1.16
R00931,ec-code/2.3.3.5
R00935,ec-code/1.2.1.27
R00939,ec-code/1.5.1.3
R00943,ec-code/6.3.4.3
R00945,ec-code/2.1.2.1
R00946,ec-code/2.1.1.13
R00948,ec-code/2.7.7.27
R00962,ec-code/2.7.1.48
R00963,ec-code/3.1.3.5
R00964,ec-code/2.7.1.48;ec-code/2.7.1.213
R00965,ec-code/4.1.1.23
R00966,ec-code/2.4.2.9
R00967,ec-code/2.7.1.48
R00968,ec-code/2.7.1.48
R00970,ec-code/2.7.1.48
R00982,ec-code/6.2.1.32
R00985,ec-code/4.1.3.27
R00986,ec-code/4.1.3.27
R00994,ec-code/1.1.1.85
R00996,ec-code/4.3.1.19
R00999,ec-code/2.5.1.48
R01000,ec-code/1.1.1.27
R01001,ec-code/4.4.1.1
R01015,ec-code/5.3.1.1
R01016,ec-code/4.2.3.3
R01030,ec-code/3.1.4.2;ec-code/3.1.4.46
R01034,ec-code/1.1.1.6
R01041,ec-code/1.1.1.2;ec-code/1.1.1.21;ec-code/1.1.1.72;ec-code/1.1.1.372
R01049,ec-code/2.7.6.1
R01051,ec-code/2.7.1.15
R01054,ec-code/3.6.1.13;ec-code/3.6.1.21;ec-code/3.6.1.53;ec-code/3.6.1.-
R01055,ec-code/4.2.1.70
R01056,ec-code/5.3.1.6
R01057,ec-code/5.4.2.2;ec-code/5.4.2.7
R01061,ec-code/1.2.1.12;ec-code/1.2.1.59
R01066,ec-code/4.1.2.4
R01067,ec-code/2.2.1.1
R01068,ec-code/4.1.2.13
R01069,ec-code/4.1.2.40
R01071,ec-code/2.4.2.17
R01072,ec-code/2.4.2.14
R01073,ec-code/2.4.2.18
R01074,ec-code/6.2.1.11;ec-code/6.3.4.9;ec-code/6.3.4.10;ec-code/6.3.4.11
R01082,ec-code/4.2.1.2
R01083,ec-code/4.3.2.2
R01085,ec-code/3.7.1.5;ec-code/3.7.1.20
R01086,ec-code/4.3.2.1
R01088,ec-code/1.4.1.9
R01090,ec-code/2.6.1.6;ec-code/2.6.1.42;ec-code/2.6.1.67
R01092,ec-code/2.7.1.6
R01094,ec-code/1.1.1.48
R01097,ec-code/1.1.1.48;ec-code/1.1.1.120
R01126,ec-code/3.1.3.5;ec-code/3.1.3.99
R01127,ec-code/3.5.4.10
R01130,ec-code/1.1.1.205
R01132,ec-code/2.4.2.8
R01135,ec-code/6.3.4.4
R01137,ec-code/2.7.4.6
R01138,ec-code/2.7.1.40
R01148,ec-code/2.6.1.21
R01150,ec-code/6.3.2.4
R01152,ec-code/3.5.1.53
R01155,ec-code/2.6.1.29;ec-code/2.6.1.82
R01157,ec-code/3.5.3.11
R01158,ec-code/1.1.1.23
R01163,ec-code/1.1.1.23
R01172,ec-code/1.2.1.10;ec-code/1.2.1.57;ec-code/1.2.1.87
R01175,ec-code/1.3.3.6;ec-code/1.3.8.1;ec-code/1.3.8.7;ec-code/1.3.99.-
R01176,ec-code/6.2.1.2
R01177,ec-code/2.3.1.9;ec-code/2.3.1.16
R01183,ec-code/1.1.1.18
R01185,ec-code/3.1.3.25
R01186,ec-code/3.1.3.25
R01187,ec-code/3.1.3.25
R01196,ec-code/1.2.7.1;ec-code/1.2.7.11
R01197,ec-code/1.2.7.3;ec-code/1.2.7.11
R01209,ec-code/4.2.1.9
R01212,ec-code/1.4.1.8
R01213,ec-code/2.3.3.13
R01214,ec-code/2.6.1.6;ec-code/2.6.1.42
R01220,ec-code/1.5.1.5
R01221,ec-code/1.4.4.2;ec-code/1.8.1.4;ec-code/2.1.2.10
R01224,ec-code/1.5.1.20
R01226,ec-code/2.1.2.11
R01227,ec-code/3.1.3.5
R01229,ec-code/2.4.2.7;ec-code/2.4.2.8;ec-code/2.4.2.22
R01230,ec-code/6.3.5.2
R01231,ec-code/6.3.5.2
R01244,ec-code/3.5.4.2
R01249,ec-code/1.5.1.1;ec-code/1.5.1.21;ec-code/1.5.1.49
R01251,ec-code/1.5.1.2
R01256,ec-code/6.2.1.9
R01279,ec-code/1.3.3.6;ec-code/1.3.8.7;ec-code/1.3.8.8;ec-code/1.3.8.9
R01280,ec-code/6.2.1.3
R01283,ec-code/4.4.1.2
R01286,ec-code/4.4.1.13
R01287,ec-code/2.5.1.49
R01288,ec-code/2.5.1.48;ec-code/2.5.1.-
R01290,ec-code/4.2.1.22
R01291,ec-code/4.4.1.21
R01293,ec-code/1.2.1.28;ec-code/1.2.1.64
R01294,ec-code/1.2.1.7;ec-code/1.2.1.96
R01300,ec-code/6.2.1.27
R01325,ec-code/4.2.1.3
R01333,ec-code/1.2.1.21
R01353,ec-code/2.7.2.1;ec-code/2.7.2.15
R01357,ec-code/6.2.1.16
R01365,ec-code/2.8.3.9
R01373,ec-code/4.2.1.51;ec-code/4.2.1.91
R01374,ec-code/1.4.5.1
R01385,ec-code/5.1.3.6
R01392,ec-code/1.1.1.79;ec-code/1.1.1.81
R01394,ec-code/5.3.1.22
R01397,ec-code/2.1.3.2
R01398,ec-code/2.1.3.3
R01401,ec-code/3.2.2.9;ec-code/3.2.2.16
R01419,ec-code/1.2.1.28
R01422,ec-code/6.2.1.25
R01424,ec-code/3.5.1.32
R01430,ec-code/1.1.1.179
R01432,ec-code/5.3.1.5
R01434,ec-code/1.4.1.9;ec-code/1.4.1.23
R01446,ec-code/1.2.1.22
R01466,ec-code/4.2.3.1
R01470,ec-code/3.1.4.2;ec-code/3.1.4.46
R01473,ec-code/5.1.3.5
R01481,ec-code/1.1.1.2;ec-code/1.1.1.19
R01492,ec-code/2.5.1.17
R01505,ec-code/1.3.1.28
R01512,ec-code/2.7.2.3
R01513,ec-code/1.1.1.95
R01518,ec-code/5.4.2.11;ec-code/5.4.2.12
R01521,ec-code/1.1.1.47
R01525,ec-code/1.1.1.137;ec-code/1.1.1.405
R01528,ec-code/1.1.1.44;ec-code/1.1.1.351
R01529,ec-code/5.1.3.1
R01541,ec-code/2.7.1.45;ec-code/2.7.1.178
R01542,ec-code/1.1.1.125;ec-code/1.1.1.127
R01544,ec-code/4.3.1.9
R01547,ec-code/2.7.4.3;ec-code/2.7.4.11
R01548,ec-code/2.7.1.48
R01549,ec-code/2.7.1.48
R01557,ec-code/5.4.99.16
R01558,ec-code/6.2.1.8
R01561,ec-code/2.4.2.1
R01562,ec-code/3.1.3.6
R01567,ec-code/2.7.1.21
R01569,ec-code/3.1.3.5;ec-code/3.1.3.35;ec-code/3.1.3.89
R01570,ec-code/2.4.2.2;ec-code/2.4.2.4
R01579,ec-code/3.5.1.2;ec-code/3.5.1.35;ec-code/3.5.1.38
R01582,ec-code/2.6.1.21
R01602,ec-code/5.1.3.3
R01616,ec-code/6.2.1.12
R01626,ec-code/2.3.1.39;ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.-
R01639,ec-code/2.7.1.17
R01641,ec-code/2.2.1.1
R01648,ec-code/2.6.1.19
R01655,ec-code/3.5.4.9
R01658,ec-code/2.5.1.1
R01664,ec-code/3.1.3.5;ec-code/3.1.3.89
R01665,ec-code/2.7.4.14;ec-code/2.7.4.25
R01684,ec-code/2.6.1.55
R01688,ec-code/2.7.2.7
R01698,ec-code/1.8.1.4
R01708,ec-code/1.1.1.65
R01714,ec-code/4.2.3.5
R01715,ec-code/5.4.99.5
R01716,ec-code/2.6.1.85
R01718,ec-code/3.2.1.10
R01720,ec-code/1.17.1.5
R01724,ec-code/6.3.4.21
R01728,ec-code/1.3.1.12
R01739,ec-code/1.1.1.215
R01747,ec-code/1.1.1.60
R01751,ec-code/4.1.1.73
R01752,ec-code/1.2.1.3
R01764,ec-code/4.1.1.7
R01768,ec-code/1.17.1.4
R01771,ec-code/2.7.1.39
R01775,ec-code/1.1.1.3
R01781,ec-code/1.1.1.77
R01782,ec-code/4.1.2.28
R01818,ec-code/5.4.2.8
R01825,ec-code/1.2.1.72
R01826,ec-code/2.5.1.54
R01829,ec-code/4.1.2.13
R01838,ec-code/1.1.1.51;ec-code/1.1.1.64
R01845,ec-code/3.1.3.11;ec-code/3.1.3.37
R01855,ec-code/3.6.1.-
R01857,ec-code/2.7.4.6
R01858,ec-code/2.7.1.40
R01859,ec-code/6.4.1.3
R01863,ec-code/2.4.2.1;ec-code/2.4.2.15
R01869,ec-code/1.3.1.14
R01870,ec-code/2.4.2.10
R01876,ec-code/2.4.2.2;ec-code/2.4.2.3
R01877,ec-code/3.1.3.6
R01878,ec-code/3.5.4.5
R01880,ec-code/2.7.1.48
R01900,ec-code/4.2.1.3
R01901,ec-code/2.7.1.53
R01920,ec-code/2.5.1.16
R01933,ec-code/1.2.4.2;ec-code/1.8.1.4;ec-code/2.3.1.61
R01934,ec-code/1.1.1.87;ec-code/1.1.1.286
R01939,ec-code/2.6.1.39
R01943,ec-code/6.2.1.12
R01954,ec-code/6.3.4.5
R01968,ec-code/3.1.3.5;ec-code/3.1.3.89
R01969,ec-code/2.4.2.1;ec-code/2.4.2.4
R01974,ec-code/4.1.1.43;ec-code/4.1.1.74
R01976,ec-code/1.1.1.157
R01977,ec-code/1.1.1.36
R01986,ec-code/1.2.1.3
R01990,ec-code/3.5.3.7
R01993,ec-code/3.5.2.3
R02003,ec-code/2.5.1.10
R02016,ec-code/1.8.1.9
R02017,ec-code/1.17.4.1
R02018,ec-code/1.17.4.1
R02019,ec-code/1.17.4.1
R02021,ec-code/1.8.4.8
R02024,ec-code/1.17.4.1
R02025,ec-code/1.8.4.13;ec-code/1.8.4.14
R02026,
R02034,ec-code/1.1.1.43
R02059,ec-code/3.5.1.25
R02060,ec-code/5.4.2.10
R02061,ec-code/2.5.1.29
R02085,ec-code/4.2.1.18
R02088,ec-code/3.1.3.5;ec-code/3.1.3.89
R02090,ec-code/2.7.4.8;ec-code/2.7.4.12
R02091,ec-code/2.7.1.48
R02093,ec-code/2.7.4.6
R02094,ec-code/2.7.4.9;ec-code/2.7.4.12
R02096,ec-code/2.7.1.48
R02097,ec-code/2.7.1.48
R02098,ec-code/2.7.4.4;ec-code/2.7.4.9
R02099,ec-code/2.7.1.21
R02100,ec-code/3.6.1.23;ec-code/3.6.1.-
R02102,ec-code/3.1.3.5;ec-code/3.1.3.89
R02103,ec-code/1.17.1.4
R02124,ec-code/1.1.1.1;ec-code/1.1.1.105
R02133,ec-code/3.5.99.2
R02135,ec-code/3.1.3.1;ec-code/3.1.3.2;ec-code/3.1.3.100
R02142,ec-code/2.4.2.8;ec-code/2.4.2.22
R02147,ec-code/2.4.2.1;ec-code/2.4.2.15
R02148,ec-code/3.1.3.6
R02164,ec-code/1.3.5.1;ec-code/1.3.5.4
R02194,ec-code/6.2.1.12
R02196,ec-code/1.4.1.9
R02199,ec-code/2.6.1.42
R02221,ec-code/6.2.1.12
R02229,ec-code/1.1.1.163;ec-code/1.1.1.245
R02236,ec-code/1.5.1.3
R02255,ec-code/6.2.1.12
R02257,ec-code/1.1.1.77
R02260,ec-code/1.1.1.283;ec-code/1.2.1.49
R02272,ec-code/5.4.3.8
R02273,ec-code/3.5.1.30
R02274,ec-code/2.6.1.48
R02280,ec-code/3.5.4.22
R02282,ec-code/2.3.1.35
R02283,ec-code/2.6.1.11
R02291,ec-code/1.2.1.11
R02294,ec-code/2.4.2.1
R02295,ec-code/2.4.2.1
R02296,ec-code/2.4.2.2
R02297,ec-code/2.4.2.1;ec-code/2.4.2.-
R02300,ec-code/2.1.2.10
R02301,ec-code/6.3.3.2
R02322,ec-code/3.5.1.42
R02323,ec-code/3.1.3.5;ec-code/3.1.3.-
R02326,ec-code/2.7.4.6
R02327,ec-code/2.7.1.48
R02331,ec-code/2.7.4.6
R02332,ec-code/2.7.1.48
R02340,ec-code/4.1.2.8;ec-code/4.2.1.20
R02352,ec-code/1.1.1.51;ec-code/1.1.1.62
R02370,ec-code/3.1.3.6
R02371,ec-code/2.7.1.48
R02372,ec-code/2.7.1.48
R02377,ec-code/1.1.1.202
R02394,ec-code/1.3.3.5
R02401,ec-code/1.2.1.20
R02404,ec-code/6.2.1.5
R02408,ec-code/4.4.1.1;ec-code/4.4.1.13;ec-code/4.4.1.35
R02410,ec-code/3.2.1.26
R02412,ec-code/2.7.1.71
R02423,ec-code/3.5.3.9
R02425,ec-code/3.5.2.5
R02429,ec-code/4.2.1.82
R02433,ec-code/2.6.1.1
R02473,ec-code/6.3.2.1
R02484,ec-code/2.4.2.1;ec-code/2.4.2.2;ec-code/2.4.2.3;ec-code/2.4.2.4
R02485,ec-code/3.5.4.5
R02487,ec-code/1.3.8.6
R02488,ec-code/1.3.8.6
R02508,ec-code/2.5.1.48
R02527,ec-code/1.1.1.78;ec-code/1.1.1.79
R02528,ec-code/1.1.1.-
R02536,ec-code/1.2.1.5;ec-code/1.2.1.39
R02537,ec-code/1.2.1.5
R02540,ec-code/3.5.1.4
R02545,ec-code/1.1.1.93
R02549,ec-code/1.2.1.3;ec-code/1.2.1.19;ec-code/1.2.1.-
R02557,ec-code/2.4.2.1
R02558,ec-code/3.2.1.21;ec-code/3.2.1.118
R02566,ec-code/1.2.1.8
R02568,ec-code/4.1.2.13
R02619,ec-code/2.6.1.1
R02658,ec-code/2.7.1.13
R02672,ec-code/4.1.1.7
R02678,ec-code/1.2.1.3
R02695,ec-code/1.2.1.5;ec-code/1.2.1.29;ec-code/1.2.1.53
R02697,ec-code/1.2.1.5
R02698,ec-code/1.14.14.9
R02705,ec-code/2.7.1.60
R02719,ec-code/3.1.3.5
R02720,ec-code/3.6.1.66;ec-code/3.6.1.-
R02722,ec-code/4.2.1.20
R02733,ec-code/3.5.1.47
R02734,ec-code/3.5.1.18
R02735,ec-code/5.1.1.7
R02748,ec-code/2.4.2.1;ec-code/2.4.2.4
R02749,ec-code/5.4.2.7
R02750,ec-code/2.7.1.15
R02762,ec-code/1.2.1.85
R02765,ec-code/5.1.99.1
R02776,ec-code/1.1.1.134;ec-code/1.1.1.344
R02783,ec-code/6.3.2.9
R02786,ec-code/6.3.2.7
R02788,ec-code/6.3.2.13
R02832,ec-code/1.1.1.206
R02855,ec-code/1.1.1.303
R02864,ec-code/4.99.1.4
R02869,ec-code/2.5.1.16;ec-code/2.5.1.22
R02914,ec-code/4.2.1.49
R02921,ec-code/2.7.7.40
R02928,ec-code/1.1.1.16
R02935,ec-code/1.1.1.154;ec-code/1.1.1.350
R02936,ec-code/1.1.1.154
R02940,ec-code/1.2.1.3
R02946,ec-code/1.1.1.4
R02957,ec-code/1.2.1.3
R02971,ec-code/2.7.1.33;ec-code/2.7.1.34
R02984,ec-code/5.1.3.2
R02985,ec-code/3.2.1.21;ec-code/3.2.1.117
R02986,ec-code/6.2.1.31
R02990,ec-code/2.8.3.6
R02991,ec-code/3.1.1.24
R03004,ec-code/3.6.1.9;ec-code/3.6.1.22
R03005,ec-code/2.7.7.1;ec-code/2.7.7.18
R03012,ec-code/1.1.1.23
R03013,ec-code/3.1.3.15
R03018,ec-code/2.7.1.33
R03024,ec-code/3.1.3.1;ec-code/3.1.3.2;ec-code/3.1.3.41
R03026,ec-code/4.2.1.17
R03035,ec-code/2.7.7.3
R03036,ec-code/3.6.1.9
R03045,ec-code/4.2.1.17;ec-code/4.2.1.116;ec-code/4.2.1.-
R03051,ec-code/1.1.1.86
R03066,ec-code/2.5.1.15
R03067,ec-code/2.5.1.15
R03083,ec-code/4.2.3.4
R03084,ec-code/4.2.1.10
R03096,ec-code/3.5.1.4;ec-code/3.5.1.-
R03104,ec-code/1.1.1.27
R03119,ec-code/1.1.1.202
R03122,ec-code/3.2.1.54
R03132,ec-code/2.5.1.144
R03145,ec-code/1.2.5.1
R03165,ec-code/4.2.1.75
R03177,ec-code/1.2.1.54
R03180,ec-code/3.5.1.4
R03182,ec-code/6.3.3.3
R03192,ec-code/1.3.1.98
R03193,ec-code/6.3.2.8
R03194,ec-code/2.1.1.107
R03197,ec-code/4.1.1.37
R03209,ec-code/6.2.1.14
R03210,ec-code/2.3.1.47
R03217,ec-code/2.5.1.48
R03222,ec-code/1.3.3.4
R03223,ec-code/2.5.1.3
R03231,ec-code/2.6.1.62
R03236,ec-code/2.7.1.11;ec-code/2.7.1.56;ec-code/2.7.1.144
R03237,ec-code/2.7.1.11
R03238,ec-code/2.7.1.11
R03239,ec-code/2.7.1.11
R03243,ec-code/2.6.1.9
R03256,ec-code/3.2.1.85
R03260,ec-code/2.5.1.48
R03276,ec-code/5.1.2.3
R03283,ec-code/1.2.1.3;ec-code/1.2.1.47
R03293,ec-code/1.5.1.2
R03300,ec-code/1.2.1.5;ec-code/1.2.1.29
R03302,ec-code/1.2.1.5
R03307,ec-code/5.5.1.2
R03313,ec-code/1.2.1.41
R03315,ec-code/2.7.1.83
R03317,ec-code/1.1.1.336
R03346,ec-code/3.1.3.5;ec-code/3.1.3.-
R03348,ec-code/2.4.2.19
R03383,ec-code/6.2.1.-
R03387,ec-code/2.7.1.58;ec-code/2.7.1.178
R03407,ec-code/1.1.1.51
R03457,ec-code/4.2.1.19
R03458,ec-code/1.1.1.193
R03459,ec-code/3.5.4.26
R03460,ec-code/2.5.1.19
R03471,ec-code/2.7.1.49
R03472,ec-code/4.1.99.17
R03494,ec-code/6.4.1.5
R03503,ec-code/2.7.6.3
R03504,ec-code/4.1.2.25
R03508,ec-code/4.1.1.48
R03509,ec-code/5.3.1.24
R03530,ec-code/2.7.4.6
R03531,ec-code/3.6.1.66;ec-code/3.6.1.-
R03537,ec-code/3.1.4.16
R03538,ec-code/3.1.4.16
R03545,ec-code/1.1.1.-
R03596,ec-code/1.8.1.9
R03601,ec-code/2.5.1.47
R03635,ec-code/3.2.1.26
R03707,ec-code/1.1.1.76
R03777,ec-code/1.3.3.6;ec-code/1.3.8.7;ec-code/1.3.8.8;ec-code/1.3.99.-
R03778,ec-code/2.3.1.16
R03857,ec-code/1.3.3.6;ec-code/1.3.8.7;ec-code/1.3.8.8;ec-code/1.3.99.-
R03858,ec-code/2.3.1.16
R03869,ec-code/1.2.1.3
R03889,ec-code/1.2.1.32
R03896,ec-code/4.2.1.35
R03898,ec-code/4.2.1.35
R03921,ec-code/3.2.1.26
R03929,ec-code/3.1.4.16
R03942,ec-code/1.1.1.173
R03947,ec-code/1.3.1.76
R03948,ec-code/2.1.1.130
R03968,ec-code/4.2.1.33
R03990,ec-code/1.3.3.6;ec-code/1.3.8.7;ec-code/1.3.8.8;ec-code/1.3.8.9
